player,team,votes,countrycode
Kylian Mbappe,France,0,fr
Rodri,Spain,0,es
Phil Foden,England,0,gb-eng
Jude Bellingham,England,0,gb-eng
Florian Wirtz,Germany,0,de
Harry Kane,England,0,gb-eng
Toni Kroos,Germany,0,de
Antoine Griezmann,France,0,fr
Eduardo Camavinga,France,0,fr
Declan Rice,England,0,gb-eng
Kevin De Bruyne,Belgium,0,be
Bukayo Saka,England,0,gb-eng
Jamal Musiala,Germany,0,de
Virgil van Dijk,Netherlands,0,nl
Bernardo Silva,Portugal,0,pt
Josko Gvardiol,Croatia,0,hr
Gianluigi Donnarumma,Italy,0,it
Ilkay Gundogan,Germany,0,de
Cristiano Ronaldo,Portugal,0,pt
Manuel Neuer,Germany,0,de
